testId;algo;nodeId;runtimeMillis
59825_LStarKtcMan;lktc;8;70
59825_LStarKtcMan;lktc;10;148
59825_LStarKtcMan;lktc;11;64
59825_LStarKtcMan;lktc;13;201
59825_LStarKtcMan;lktc;14;88
59825_LStarKtcMan;lktc;15;258
59825_LStarKtcMan;lktc;16;214
59825_LStarKtcMan;lktc;17;153
59825_LStarKtcMan;lktc;18;246
59825_LStarKtcMan;lktc;19;136
59825_LStarKtcMan;lktc;20;534
59825_LStarKtcMan;lktc;22;190
59825_LStarKtcMan;lktc;23;454
59825_LStarKtcMan;lktc;24;220
59825_LStarKtcMan;lktc;25;196
59825_LStarKtcMan;lktc;26;297
59825_LStarKtcMan;lktc;27;92
59825_LStarKtcMan;lktc;28;735
59825_LStarKtcMan;lktc;31;210
59825_LStarKtcMan;lktc;32;117
59825_LStarKtcMan;lktc;33;122
59826_LmstMan;lmst;1;261
59826_LmstMan;lmst;2;568
59826_LmstMan;lmst;3;775
59826_LmstMan;lmst;4;555
59826_LmstMan;lmst;6;451
59826_LmstMan;lmst;7;367
59826_LmstMan;lmst;8;572
59826_LmstMan;lmst;10;377
59826_LmstMan;lmst;11;694
59826_LmstMan;lmst;13;567
59826_LmstMan;lmst;14;571
59826_LmstMan;lmst;15;242
59826_LmstMan;lmst;16;543
59826_LmstMan;lmst;17;767
59826_LmstMan;lmst;18;1143
59826_LmstMan;lmst;19;739
59826_LmstMan;lmst;20;480
59826_LmstMan;lmst;22;325
59826_LmstMan;lmst;23;708
59826_LmstMan;lmst;24;709
59826_LmstMan;lmst;25;607
59826_LmstMan;lmst;26;160
59826_LmstMan;lmst;27;634
59826_LmstMan;lmst;28;357
59826_LmstMan;lmst;31;482
59826_LmstMan;lmst;32;391
59826_LmstMan;lmst;33;1069
59827_KtcGen;KtcAlgorithm;1;97
